"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2026","20,523.0","20,500.9","20,563.0","20,500.9","","0.04%"
"05/11/2026","20,508.0","20,403.5","20,508.0","20,403.5","","0.41%"
"05/08/2026","20,466.4","20,327.0","20,469.9","20,320.1","","0.69%"
"05/07/2026","20,326.2","20,427.4","20,451.7","20,321.0","","-0.48%"
"05/06/2026","20,423.9","20,363.4","20,509.1","20,349.7","","0.30%"
"05/05/2026","20,363.4","20,317.7","20,402.1","20,287.3","","0.27%"
"05/04/2026","20,309.0","20,326.3","20,395.1","20,287.3","","0.10%"
"05/01/2026","20,289.1","20,307.2","20,400.7","20,278.7","","-0.09%"
"04/30/2026","20,308.1","20,170.1","20,325.4","20,164.9","","0.64%"
"04/29/2026","20,178.7","20,162.2","20,304.0","20,150.2","","0.08%"
"04/28/2026","20,163.1","20,153.6","20,206.0","20,102.0","","0.07%"
"04/27/2026","20,148.4","20,113.5","20,213.4","20,095.5","","-0.02%"
"04/24/2026","20,153.1","20,194.1","20,209.6","20,086.9","","-0.21%"
"04/23/2026","20,194.9","20,103.3","20,275.9","20,081.0","","0.46%"
"04/22/2026","20,103.3","20,133.9","20,208.4","20,099.9","","-0.14%"
"04/21/2026","20,132.2","20,240.0","20,247.7","20,091.1","","-0.54%"
"04/20/2026","20,240.9","20,209.6","20,244.3","20,151.5","","0.13%"
"04/17/2026","20,215.6","20,172.3","20,362.5","20,168.9","","0.17%"
"04/16/2026","20,181.7","20,219.3","20,257.3","20,156.9","","-0.18%"
"04/15/2026","20,198.0","20,211.0","20,211.0","20,185.0","","0.05%"
"04/14/2026","20,188.9","20,104.5","20,216.1","20,099.3","","0.40%"
"04/13/2026","20,107.9","19,930.4","20,119.9","19,930.4","","0.39%"
"04/10/2026","20,029.5","19,987.7","20,062.8","19,955.4","","0.20%"
"04/09/2026","19,989.4","19,839.6","20,029.6","19,816.7","","0.76%"
"04/08/2026","19,838.8","19,818.5","19,997.1","19,804.7","","0.09%"
"04/07/2026","19,821.1","19,660.9","19,839.9","19,636.2","","0.81%"
"04/06/2026","19,660.9","19,574.3","19,712.9","19,549.0","","0.45%"
"04/03/2026","19,572.6","19,609.1","19,628.6","19,566.6","","-0.19%"
"04/02/2026","19,609.1","19,678.1","19,707.0","19,559.0","","-0.35%"
"04/01/2026","19,677.3","19,634.6","19,743.5","19,626.4","","0.22%"
"03/31/2026","19,634.6","19,479.9","19,652.4","19,448.5","","0.80%"
"03/30/2026","19,479.0","19,540.3","19,577.9","19,435.3","","-0.24%"
"03/27/2026","19,526.7","19,482.3","19,591.2","19,475.6","","0.23%"
"03/26/2026","19,482.3","19,546.3","19,566.3","19,468.0","","-0.32%"
"03/25/2026","19,545.4","19,710.4","19,749.4","19,539.5","","-0.83%"
"03/24/2026","19,709.5","19,720.6","19,746.0","19,622.9","","-0.05%"
"03/23/2026","19,718.9","19,597.5","19,764.7","19,499.8","","0.36%"
"03/20/2026","19,647.6","19,678.1","19,690.9","19,569.5","","-0.15%"
"03/19/2026","19,678.1","19,445.5","19,724.8","19,430.2","","1.20%"
"03/18/2026","19,445.5","19,594.9","19,622.1","19,441.3","","-0.76%"
"03/17/2026","19,594.1","19,547.8","19,608.5","19,475.0","","0.25%"
"03/16/2026","19,546.2","19,335.3","19,581.8","19,331.1","","1.07%"
"03/13/2026","19,339.6","19,442.1","19,495.8","19,330.2","","-0.53%"
