"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2026","23,169.7","23,208.5","23,182.6","23,167.1","","-0.25%"
"04/16/2026","23,171.8","23,247.9","23,291.8","23,151.2","","-0.28%"
"04/15/2026","23,253.9","23,223.4","23,269.3","23,209.4","","0.09%"
"04/14/2026","23,233.6","23,223.4","23,261.9","23,073.9","","0.60%"
"04/13/2026","23,095.3","22,888.6","23,102.1","22,865.6","","0.39%"
"04/10/2026","23,006.6","22,956.3","23,039.0","22,916.0","","0.23%"
"04/09/2026","22,954.6","22,796.0","22,996.4","22,759.4","","0.75%"
"04/08/2026","22,783.2","22,721.2","22,939.7","22,708.3","","0.27%"
"04/07/2026","22,722.0","22,554.3","22,739.1","22,510.1","","0.79%"
"04/06/2026","22,544.1","22,422.6","22,605.4","22,392.8","","0.55%"
"04/03/2026","22,421.7","22,477.8","22,507.5","22,411.5","","-0.25%"
"04/02/2026","22,476.9","22,591.9","22,620.8","22,398.8","","-0.52%"
"04/01/2026","22,593.6","22,479.5","22,664.9","22,463.7","","0.52%"
"03/31/2026","22,476.1","22,405.6","22,544.9","22,355.4","","0.31%"
"03/30/2026","22,405.6","22,515.1","22,574.2","22,375.9","","-0.40%"
"03/27/2026","22,494.7","22,528.6","22,639.0","22,492.2","","-0.16%"
"03/26/2026","22,531.1","22,600.2","22,615.4","22,492.2","","-0.31%"
"03/25/2026","22,601.1","22,773.6","22,816.0","22,586.7","","-0.75%"
"03/24/2026","22,771.9","22,815.2","22,833.0","22,670.0","","-0.14%"
"03/23/2026","22,803.3","22,602.1","22,890.7","22,508.7","","0.66%"
"03/20/2026","22,653.9","22,805.8","22,829.6","22,578.3","","-0.67%"
"03/19/2026","22,806.7","22,511.2","22,869.5","22,490.0","","1.31%"
"03/18/2026","22,511.2","22,678.5","22,712.4","22,500.2","","-0.73%"
"03/17/2026","22,677.6","22,629.0","22,695.5","22,540.5","","0.21%"
"03/16/2026","22,629.8","22,415.9","22,666.4","22,397.2","","1.00%"
"03/13/2026","22,404.9","22,537.2","22,611.2","22,389.6","","-0.58%"
"03/12/2026","22,536.3","22,624.4","22,651.2","22,526.2","","-0.39%"
"03/11/2026","22,625.2","22,620.2","22,701.1","22,592.3","","0.03%"
"03/10/2026","22,619.4","22,751.3","22,783.5","22,604.3","","-0.65%"
"03/09/2026","22,766.5","22,574.1","22,782.6","22,453.2","","0.41%"
"03/06/2026","22,673.8","22,535.6","22,678.9","22,500.6","","0.56%"
"03/05/2026","22,548.3","22,581.2","22,610.5","22,444.5","","-0.17%"
"03/04/2026","22,586.2","22,517.4","22,634.3","22,420.5","","0.33%"
"03/03/2026","22,512.4","22,606.7","22,638.7","22,336.2","","-0.40%"
"03/02/2026","22,601.7","22,608.4","22,654.0","22,446.6","","-0.03%"
"02/27/2026","22,608.4","22,590.8","22,649.6","22,528.8","","0.09%"
"02/26/2026","22,589.1","22,758.8","22,790.7","22,525.4","","-0.75%"
"02/25/2026","22,758.8","22,688.5","22,772.2","22,643.0","","0.31%"
"02/24/2026","22,688.5","22,649.7","22,770.9","22,627.9","","0.16%"
