"Date","Price","Open","High","Low","Vol.","Change %"
"04/19/2026","17,140.0","17,180.0","17,185.0","17,140.0","","-0.26%"
"04/16/2026","17,123.2","17,111.3","17,155.0","17,113.5","","-0.07%"
"04/15/2026","17,146.3","17,101.4","17,164.2","17,110.7","","0.21%"
"04/14/2026","17,110.7","17,101.4","17,144.0","17,110.7","","0.06%"
"04/13/2026","17,100.0","17,125.0","17,142.5","17,100.0","","0.16%"
"04/12/2026","17,073.2","17,051.5","17,090.0","17,073.2","","-0.10%"
"04/10/2026","17,090.0","17,080.0","17,122.5","17,076.5","","0.03%"
"04/09/2026","17,085.0","17,040.0","17,100.0","17,027.5","","0.44%"
"04/08/2026","17,010.0","16,985.0","17,025.5","16,980.0","","-0.49%"
"04/07/2026","17,094.5","17,052.5","17,107.5","17,052.5","","0.35%"
"04/06/2026","17,035.0","17,000.0","17,047.5","16,992.5","","0.24%"
"04/03/2026","16,994.5","16,994.5","16,994.5","16,994.5","","0.00%"
"04/02/2026","16,994.5","16,990.0","17,027.5","16,980.0","","0.09%"
"04/01/2026","16,980.0","16,992.0","17,031.0","16,957.5","","-0.09%"
"03/31/2026","16,994.5","16,985.0","16,999.0","16,985.0","","0.03%"
"03/30/2026","16,990.0","16,985.0","16,996.5","16,977.5","","0.15%"
"03/27/2026","16,965.0","16,922.5","16,974.0","16,922.5","","0.38%"
"03/26/2026","16,900.0","16,885.0","16,907.5","16,880.0","","-0.06%"
"03/25/2026","16,910.0","16,915.0","16,925.0","16,870.0","","-0.41%"
"03/24/2026","16,980.0","16,980.0","16,980.0","16,980.0","","0.00%"
"03/23/2026","16,980.0","16,980.0","16,980.0","16,980.0","","0.00%"
"03/20/2026","16,980.0","16,980.0","16,980.0","16,980.0","","0.00%"
"03/19/2026","16,980.0","16,980.0","16,980.0","16,980.0","","0.00%"
"03/18/2026","16,980.0","16,980.0","16,980.0","16,980.0","","0.00%"
"03/17/2026","16,980.0","16,977.5","16,992.5","16,960.0","","-0.06%"
"03/16/2026","16,990.0","16,950.0","16,997.5","16,950.0","","0.30%"
"03/13/2026","16,940.0","16,907.5","16,946.0","16,897.5","","0.30%"
"03/12/2026","16,890.0","16,900.0","16,909.0","16,878.0","","0.12%"
"03/11/2026","16,870.0","16,840.0","16,872.5","16,835.0","","0.07%"
"03/10/2026","16,857.5","16,865.0","16,895.0","16,842.5","","-0.49%"
"03/09/2026","16,940.0","16,990.0","16,995.0","16,937.5","","0.21%"
"03/06/2026","16,905.0","16,917.5","16,932.5","16,902.5","","0.15%"
"03/05/2026","16,880.0","16,902.5","16,907.5","16,855.0","","-0.03%"
"03/04/2026","16,885.0","16,920.0","16,932.5","16,885.0","","0.18%"
"03/03/2026","16,855.0","16,860.0","16,885.0","16,844.0","","-0.03%"
"03/02/2026","16,860.0","16,822.5","16,867.5","16,814.5","","0.57%"
"02/27/2026","16,765.0","16,767.5","16,788.5","16,761.5","","0.06%"
"02/26/2026","16,755.0","16,757.5","16,781.0","16,732.5","","-0.18%"
"02/25/2026","16,785.0","16,840.0","16,852.5","16,784.0","","-0.21%"
"02/24/2026","16,820.0","16,820.0","16,839.5","16,812.5","","0.18%"
"02/23/2026","16,790.0","16,865.0","16,865.0","16,790.0","","-0.44%"
"02/20/2026","16,865.0","16,882.5","16,946.0","16,855.0","","-0.06%"
"02/19/2026","16,875.0","16,890.0","16,936.5","16,875.0","","-0.03%"
"02/18/2026","16,880.0","16,845.0","16,893.5","16,837.5","","0.30%"
"02/17/2026","16,830.0","16,830.0","16,830.0","16,830.0","","0.00%"
"02/16/2026","16,830.0","16,830.0","16,830.0","16,830.0","","0.00%"
"02/13/2026","16,830.0","16,820.0","16,855.0","16,817.5","","0.09%"
"02/12/2026","16,815.0","16,800.0","16,832.5","16,800.0","","0.21%"
"02/11/2026","16,780.0","16,775.0","16,794.0","16,759.0","","-0.09%"
"02/10/2026","16,795.0","16,795.0","16,852.5","16,773.0","","-0.03%"
"02/09/2026","16,800.0","16,865.0","16,872.5","16,799.0","","-0.39%"
"02/06/2026","16,865.0","16,872.5","16,894.0","16,860.0","","0.21%"
"02/05/2026","16,830.0","16,785.0","16,834.0","16,782.5","","0.36%"
"02/04/2026","16,770.0","16,765.0","16,777.5","16,757.5","","0.06%"
"02/03/2026","16,760.0","16,760.0","16,786.5","16,757.5","","-0.18%"
"02/02/2026","16,790.0","16,790.0","16,812.5","16,763.5","","0.03%"
"01/30/2026","16,785.0","16,795.0","16,815.0","16,777.5","","0.22%"
"01/29/2026","16,747.5","16,750.0","16,805.0","16,745.0","","0.25%"
"01/28/2026","16,705.0","16,720.0","16,745.0","16,680.0","","-0.36%"
"01/27/2026","16,765.0","16,777.5","16,812.5","16,765.0","","-0.06%"
"01/26/2026","16,775.0","16,795.0","16,802.5","16,755.0","","-0.24%"
"01/23/2026","16,815.0","16,825.0","16,849.0","16,810.0","","-0.41%"
"01/22/2026","16,885.0","16,925.0","16,935.0","16,796.5","","-0.30%"
"01/21/2026","16,935.0","16,945.0","16,971.0","16,930.0","","-0.09%"
"01/20/2026","16,950.0","16,970.0","16,987.5","16,947.5","","0.06%"
"01/19/2026","16,940.0","16,875.0","16,952.5","16,875.0","","0.33%"
"01/16/2026","16,885.0","16,885.0","16,885.0","16,885.0","","0.00%"
"01/15/2026","16,885.0","16,835.0","16,894.5","16,830.0","","0.15%"
"01/14/2026","16,860.0","16,865.0","16,876.0","16,856.5","","-0.03%"
"01/13/2026","16,865.0","16,845.0","16,881.5","16,845.0","","0.21%"
"01/12/2026","16,830.0","16,837.5","16,858.5","16,830.0","","0.18%"
"01/09/2026","16,800.0","16,830.0","16,846.5","16,800.0","","0.06%"
"01/08/2026","16,790.0","16,787.5","16,805.0","16,785.0","","0.09%"
"01/07/2026","16,775.0","16,760.0","16,790.5","16,755.0","","0.15%"
"01/06/2026","16,750.0","16,745.0","16,769.0","16,730.0","","0.06%"
"01/05/2026","16,740.0","16,715.0","16,762.5","16,712.5","","0.12%"
"01/02/2026","16,720.0","16,695.0","16,734.0","16,690.0","","0.27%"
"01/01/2026","16,675.0","16,675.0","16,675.0","16,675.0","","0.00%"
"12/31/2025","16,675.0","16,715.0","16,742.5","16,675.0","","-0.51%"
"12/30/2025","16,760.0","16,780.0","16,789.0","16,760.0","","-0.15%"
"12/29/2025","16,785.0","16,760.0","16,795.0","16,757.5","","0.18%"
"12/26/2025","16,755.0","16,755.0","16,755.0","16,755.0","","0.00%"
